size, sort, nth_element, max_element, max_element_ben_deane, accumulate, transform_reduce
10,0.000107977,0.000107985,5.6224e-05,6.1383e-05,2.5743e-05,2.2893e-05
100,0.00206564,0.000682268,0.00011953,0.000120284,8.9092e-05,0.000234441
1000,0.0279218,0.0050897,0.000777619,0.000885719,0.000458608,0.0010017
3162,0.10364,0.0152373,0.00320657,0.00199696,0.00153402,0.00356593
10000,0.385187,0.0487229,0.0113026,0.00652994,0.00512745,0.0117197
31623,1.35881,0.150038,0.0365415,0.0218905,0.0193918,0.035914
100000,4.77332,0.484705,0.106745,0.0629185,0.0505747,0.121966
177828,NaN,0.892646,0.20795,0.120573,0.098566,0.221445
316228,NaN,1.60602,0.415941,0.256989,0.183136,0.399543
562341,NaN,2.89161,0.696527,0.504187,0.441785,0.703731
1000000,NaN,5.85823,2.04901,1.17942,0.707055,1.38395
