size, sort, nth_element, max_element, max_element_ben_deane, reduce, transform_reduce
10,0.00248577,0.00413687,0.00329937,0.00460317,0.000859408,0.00102198
100,0.00261326,0.0467077,0.0201408,0.0154991,0.00585741,0.00612531
1000,0.0510942,0.222107,0.0330848,0.035293,0.0194857,0.018448
3162,0.0863139,0.490191,0.0497041,0.0484173,0.0216551,0.0207714
10000,0.254417,0.885207,0.0705335,0.0559254,0.0228073,0.0205179
31623,0.491098,1.28801,0.103971,0.0613803,0.0277599,0.0327743
100000,1.87565,2.82646,0.251568,0.100531,0.0498723,0.0701851
177828,3.53493,4.21348,0.400904,0.15763,0.0725315,0.101161
316228,5.43169,5.65442,0.639452,0.320258,0.154552,0.207637
562341,NaN,7.57368,0.828236,0.714485,0.151088,0.214343
1000000,NaN,10.7522,2.38904,0.953647,0.364145,0.396582
