sort, nth_element, max_element, max_element_ben_deane, accumulate, transform_reduce
5190.49,9637.74,18185.1,12386.2,5490.1,11714.1
4838.23,4140.38,12782.2,16768,5545.8,11406.3
4355.45,6654.27,12623.2,12227.7,5418.6,11493.4
4464.56,2598.69,14997.1,12295.4,5556.15,11896.9
5039.92,2835.86,14741.3,12196.8,5611.94,10659.9
5128.31,4432.88,13686,12302.4,5582.95,10940.7
4938.18,6747.78,13020.7,12450.8,4889.8,11287.8
6406.31,6190.05,16982.2,12393.4,5524.38,12414.9
5608.02,7143.43,13865,12549.3,5322.54,11006.5
5842.4,5822.85,14055.4,16325.1,5260.96,11459.2
5269.3,6018.5,13536.5,12996.9,11711.7,11310.8
4731.4,4997.61,13006.9,12092.2,5376.96,11173.8
5481.16,5302.98,13052.6,17596.5,5301.65,12299.2
6431.61,5666.98,12810.8,12342.9,5623.63,12359.1
5669.46,6110.45,14533.4,12195.1,5571.89,10601.1
5256.44,6946.09,17657.9,12412.5,5461.56,11385.3
6241.4,5512.35,13445.3,12210.7,5786.79,12542.5
5099.24,3304.72,14676.4,17501.6,5143.36,12044.3
5282.34,2281.46,14674,12275.7,5275.49,12339.8
4941.53,6241.34,12493.8,11974.6,5546.23,12093.6
4887.76,2361.8,13510.2,12333.3,5402.2,12303.1
5122.58,5753.7,13537.2,12362.6,5444.05,11044
4969.36,5931.79,14372.5,12328.8,4899.66,12515.6
5048.92,1791.79,19017.4,12252.7,5264.81,12902.2
4978.97,6772.72,14555.7,12321.8,5304.65,11337.5
5150.24,3227.71,15011.6,16922.8,5506,12424.4
5178.61,2586.47,14508,12168.1,5453.39,12185.4
5178.17,6690.98,15288.4,12291.1,5625.62,11733.9
5409.86,4426.44,12195.1,12232.8,5522.47,12429.1
5293.85,6581.45,13650.4,12073.3,6110.52,11796.5
5364.65,3194.14,12642.8,12663.8,5385.63,11097.9
5261.98,4825.38,17999.8,12314.7,5511.85,11443.4
5180.32,5479.4,14059.5,12271.7,5260.43,12254.2
7681.97,6585.52,13631.5,16701.7,5348.12,12259.4
5195.9,5008.1,14189.5,12846.5,5187.69,12255.6
4833.35,5550.52,12778.1,12364,5178.37,11977.8
4735.92,4911.37,12885,12362.5,5061.11,12054.3
4924.95,5880.9,14124.2,12240.9,5296.1,12393.8
5268.18,4842.04,13089.8,12064,5231.19,11629.1
5280.35,8296.09,17858.6,12349.7,4978.64,11075.4
5502.24,3877.27,12541.3,12284.1,5322.82,12069.5
5376.61,7513.72,14596.9,16416.8,5257.48,12080.1
5348.06,2719.74,13652,12010.9,5041.06,12384.3
4980.09,1048.61,15584.2,12254.7,5656.97,12348
4974.09,4855.17,13026.7,12105.3,5393.01,12266.6
4661.77,5096.89,12300.2,13337.7,5576.93,12485.8
4707.69,6907.35,13523.3,12294,5390.91,12089.9
4798.68,6132.26,19488.1,12558.1,5466.36,11868
4627.7,5060.67,14737.2,13070.1,5669.69,12275.5
4663.36,7168.98,13888.3,16356.5,5532.94,12541.1
4765.59,1244.43,13434.1,12401.5,5129.39,11691.6
4620.98,7101.58,12946.6,12154.3,5266.87,11410.4
4689.96,2116.05,13366.5,12332.3,5648.96,11126.4
4820.42,7431.97,12650.5,13015.5,5133.12,11691.6
4881.62,3504.31,13172.6,12523.4,5410.98,12256.1
5034.12,7428.82,19215.4,12196.5,5169.06,12023.2
4951.81,5168.27,12716.5,12263.5,5592.26,11919.4
4534.34,7021.26,13886.3,17118.4,5104.95,11787.8
4406.25,7689.32,14353.2,12190.5,4893.07,12311.2
4456.4,6005.8,12748.2,12151.1,5146.73,11111
4542.65,6649.6,13442.6,12320.9,5243.62,12166.6
4685.57,7874.86,14500.6,12355.2,5159.41,11473.8
4705.31,6783.7,12869.1,12450.8,5322.72,11530.6
4713.69,6575.84,17247.1,12069.2,4990.23,12362.2
4849.26,6840.47,15118.8,13412.4,5457.99,12419
4843.04,6113.56,13613.2,16090.7,5512.32,12045.4
4836.29,10383.2,15086.9,12163.9,4807.92,12294.7
4722.47,5226.56,14981.2,12907.9,5429.28,12025.7
4717.58,6197.06,13107.6,12223.7,5056.03,11967.9
4798.52,4663.22,13149.5,12256.8,4997.58,12143.5
4798.62,5855.31,14403.3,12936.2,5248.2,11654.3
4752.77,5581.44,19327.1,12403.3,5442.13,11942.6
4752.92,6354.52,13141.9,12912.6,5604.33,11124
4758.91,5934.44,13267.4,17697.8,5947.27,11875.2
5597.07,5126.22,12424.3,12624.6,5438.04,12213.8
5771.37,5235.74,13625.5,12490.3,5360.84,11895.3
5103.79,5274.45,12662.4,12262,5496.69,12335.8
4955.16,5726.24,14413.2,12312.7,5457.32,12013.4
5015.15,5195.53,15651.7,12794.3,5438.99,12091.4
4959.84,6415.73,17510.9,12359,5454.42,10913.2
4864.84,3898.74,12816.9,13313.2,5578.88,11933.5
5034.19,7205.1,12862.4,16411.3,5467.86,11736.4
4881.67,1878.71,14106.1,12154.5,5395.21,12158.6
4956.56,5483.36,14493.5,12339.9,5402.04,12295.2
5020.51,4537.78,12732.1,12150.3,5378.3,12162
4945.19,6382.94,12446,12256.3,8009.1,12345.6
5016.47,4325.6,14683,12401.5,5608.89,17097.7
4995,8600.66,19134.5,12319,5487.76,11808.8
5031.59,2908.88,15867.2,12148.9,5173.21,11893.7
5017.61,5275.48,15155.8,16906.8,5534.76,12253.5
5005.37,6153.76,12923.7,12408.2,5479.88,12410.6
4943.18,3022.77,12669.1,12256,5585.87,11220.2
4904.93,5512.57,13352.4,12411.4,5585.45,11477.7
5067.76,4000.3,13640.3,12180.9,5358.98,12238.5
4949.39,7456.67,14397.5,12063,5506.01,12500.7
5149.94,4885.42,17309.5,12845.9,5391.96,11441.3
5153.11,1851.39,14040.3,12028.7,5539.07,15180.3
5065.01,4669.87,14545.4,16574.7,5448.02,12885.5
5246.22,6893.89,16822,12412.5,5650.88,12086.8
5194.7,8383.99,13246.5,12208.5,5316.92,11951.5
5254.29,4687.32,12762.4,12159.6,5542.68,11955.3
5194.59,7005.42,14334.9,12801.5,5475.77,12136.4
5216.84,6072.27,13886.9,12280.3,5378.25,12449.9
5207.86,2511.41,17683.9,12197.2,5190.22,12358.1
5123.07,7712.78,13290.2,12628.4,5096.49,12265.7
5236.38,3059.43,13439.8,15854.1,5197.8,11025.5
5354.16,3275.66,12430.6,11951.2,5431.03,12235.5
5398.48,5522.02,12539.2,12791.7,5600.33,10807.7
5336.95,6048.86,12755.2,12197.6,5210.78,10969.8
5520.19,7302.6,13143,12174.3,5521.92,11462.9
5390.32,4379.5,14351.9,12132.5,5129.26,11799
5374.08,6526.61,19283.5,12212.5,5267.41,12107
5593.89,4066.86,14810.6,12199.5,4829.85,12119.8
5914.24,6273.78,14158.9,16009.8,5410.05,12196.4
5692.78,2593.65,13688.1,12272.6,5515.88,11229.3
5756.91,2918.32,14534.8,12150.9,5277.72,11742.5
5719.61,3330.99,12487.2,13072.4,5566.07,11512.9
5748.75,5471.55,14490.2,12184.5,5454.31,12134.6
5517.86,4301.35,14094,12384.9,5577.54,12230.8
5610.49,6304.87,17435,12241.9,5174.1,11474.3
5361.59,7863.92,14618,12049.8,5255.41,11474.7
4989.27,6430.27,14326.6,16501.6,5268.79,12243.5
4825.58,4637.85,12949.7,12967.2,5420.98,12695.3
4630.62,3749.99,14855.8,12502.3,5488.98,12475.3
4767.7,3905.61,12499.6,12190.3,5032,10794
4690.57,2967.7,14660.6,12299.6,5366.8,11097
4732.15,6875.89,12467.2,11977.5,5594.73,12455.9
4735.82,5702.83,17171.1,12198.2,5575.48,11099.9
4612.47,7549.49,14635.3,13145.9,5445.44,11673.2
4661.46,3474.71,14489.5,16203.7,5116.09,12341.4
4697.7,3564.76,13788.9,12944.6,5597.3,10996.3
4457.1,5866.57,13379.4,12174.1,5378.86,12286.7
4490.87,6702.45,12673.3,13244.4,5579.71,11256.2
4462.23,6909.43,13678.2,13106.3,5457.47,12106.4
4694.29,4815.02,14170.2,12260.2,5283.61,11315.3
4648.32,5215.74,17580.7,12220.5,5326.91,11549.6
4679.3,6448.43,14786.7,12184.5,5506.24,11978
4674.55,3741.5,13937.5,16871.2,5332.41,12168.4
4722.85,6216.2,13643.2,12259.6,5229.27,11228.6
4714.86,1831.94,13589.6,12129.1,5549.22,12429.9
5855.02,5422.17,14110.2,12238.2,5575.77,11491
4980.29,3705.13,12936.9,12844.6,5526.94,11953.6
4894.78,6214.87,15233.3,12263.2,5442.89,12198.9
4816.89,6771.3,17841.4,12347.6,5472.65,12558.7
4825.21,4327.47,15555.6,12289.6,5210.62,12539
4698.79,4383.88,14751.1,16626.5,5525.87,12188.2
4853.34,3708.57,14670.5,12266.1,5051.23,11404.8
4769,4930.94,12404,12331.5,5225.68,11514.5
4786.56,6766.91,13316,12331.1,5353.33,12366
4590.78,3382.19,13715.2,12313.2,9480.45,12468.4
4755.8,2850.01,12656.3,13009,5430.47,10933.3
4766.54,5029.93,19041.9,12336.7,5324.5,12152.9
4908.23,5921.71,13609.5,12158.8,5500.12,12204.2
4901.01,2275.53,14018.1,16877.3,5553.24,11870.6
4868.54,4331.14,14268.3,12502.5,5522.89,12425.2
4680.31,3167.35,14973.7,12159.5,5059.15,11361.6
4765.53,3220.2,14276.8,12161.9,5492.06,12176.7
4807.26,3750.35,12484.2,12279.3,5447.93,12662.2
4819.57,1424.41,12259.8,12173.4,5613.55,11453.3
4852.81,5094.75,22840.8,12269.8,5591.71,12070.6
4907.58,5452.15,15298.2,12537.1,5467.24,11698.5
4891.6,3888.89,12975.8,17119.2,5494.46,12747
5015.27,4730.61,13649.9,12369.3,5387.54,12282.9
4976.76,4362.11,14231.1,12538.3,4931.49,11098.3
5126.93,7242.34,12714.9,13072.2,5429.72,11415.4
5111.41,6062.92,12427.8,12421.3,5592.98,11487.1
5094.93,7008.72,14446.7,12103.5,5357.65,11395.9
5343.86,7436.27,17382.8,12138.4,5694.3,12354.7
5152.94,4448.48,12684.8,12475.1,5226.5,12348.1
5196.68,5939.67,14070.7,16627.9,5199.77,11565.9
4945.64,6206.65,14493.4,12427,5437.76,11489
4608.51,4805.19,14480.8,12232.7,5500.44,12120.2
4614.15,6398.14,14214.2,12317.7,6654.63,12295.4
4603.81,3179.26,13241.7,12350.5,5554.05,11836.5
4746.93,4317.17,14117.3,13008.2,5093.34,12372.6
4707.2,5887.99,16420.8,12403.4,5339.43,12048.4
4801.24,8319.81,13315.5,13067.3,5489.96,12401.8
4906.78,4729.44,13305.5,16146,5504.47,11219.5
4878.18,7762.31,13699.9,12342.6,5361.08,12313.4
4950.94,4508.76,13902,12315.1,5147.31,12145.9
4966.35,6532.36,15704.7,12439.4,5428.71,12255.6
